300
54	9	13	90	60	79	71	42	29	98	20	96	37	44	24	88	75	11	83	51	76	2	89	54	59	41	41	52	32	16	10	46	14	84	14	26	91	96	31	62	2	27	7	80	44	41	10	0	26	73	32	12	96	78	95	49	70	78	44	76	33	68	69	79	40	68	88	97	6	98	51	91	48	94	15	87	21	71	40	76	54	75	29	25	13	82	28	13	62	10	10	37	100	87	56	27	71	27	16	91	32	44	1	25	24	64	88	69	11	29	85	50	13	32	16	29	92	25	63	5	98	92	52	86	100	53	24	69	18	4	3	85	39	94	79	28	84	75	1	92	82	91	87	41	82	98	84	77	36	41	63	5	4	20	24	61	0	82	61	72	98	71	26	97	26	99	95	11	44	44	37	36	60	55	13	84	30	93	100	36	69	89	9	13	61	99	33	28	20	57	69	55	80	88	12	44	26	80	96	36	74	2	12	39	17	47	58	8	55	60	61	75	57	62	93	81	12	31	62	66	42	44	5	1	83	7	93	71	54	52	31	29	66	41	45	22	41	60	70	78	100	30	76	45	84	70	30	79	42	84	9	54	12	77	26	14	8	52	31	23	72	29	89	78	92	84	3	50	77	81	23	8	63	8	68	100	45	1	11	0	24	65	12	13	77	83	39	61	37	80	100	16	85	77	10	94	16	16	90	59	
29	65	21	34	63	16	52	16	84	41	48	87	58	77	51	52	41	1	25	15	40	65	12	24	86	69	11	35	29	82	66	54	60	93	32	10	16	22	91	76	14	12	65	58	80	81	100	3	23	98	88	73	60	25	66	90	99	64	41	55	57	57	28	100	78	25	40	87	44	85	80	29	39	49	58	85	48	51	79	61	92	29	0	79	30	73	72	27	73	1	96	27	4	92	67	16	74	36	97	46	93	91	21	41	32	97	4	72	15	43	13	99	23	54	53	26	63	88	76	52	7	87	65	30	59	69	28	7	16	50	95	79	43	48	65	32	84	80	95	59	72	82	5	81	59	37	12	74	54	44	17	48	14	66	95	79	54	89	40	22	1	0	23	84	1	37	91	8	14	48	30	80	16	25	20	98	95	40	63	43	34	16	80	71	49	38	2	81	39	38	89	92	41	49	57	33	23	41	1	63	30	79	99	59	55	51	54	52	86	79	10	77	12	25	9	21	42	10	85	66	7	67	98	36	21	38	25	67	32	21	62	14	84	27	39	56	75	23	66	19	91	20	20	24	82	98	74	39	80	88	53	68	24	71	91	71	26	90	97	61	87	21	53	9	84	17	90	67	28	80	92	17	81	87	95	0	82	73	44	52	96	72	75	58	45	46	29	0	61	94	52	96	39	66	49	84	99	70	30	81	
18	79	74	4	74	95	95	81	8	25	51	25	36	30	69	41	63	95	34	100	25	68	85	29	54	79	71	55	99	1	22	34	15	51	42	29	16	59	60	20	18	89	6	30	7	56	97	73	96	21	48	68	40	65	15	71	100	60	17	54	83	37	56	86	40	30	78	19	41	16	46	11	23	100	66	91	74	80	3	30	96	32	87	51	10	5	46	51	69	26	3	58	24	57	74	44	79	84	62	62	57	29	77	94	98	42	79	2	59	44	48	95	97	67	43	80	88	95	22	4	36	84	38	82	39	80	3	52	69	7	57	59	12	85	45	41	71	0	10	91	87	86	68	28	69	97	4	24	36	59	85	90	10	56	61	43	74	33	41	46	12	19	84	82	32	51	26	9	20	65	47	63	98	98	15	84	20	80	71	44	81	95	86	27	25	84	18	73	3	42	38	98	8	63	0	1	84	65	51	57	4	27	82	28	31	64	14	7	25	66	66	95	33	92	94	3	7	67	47	14	93	55	88	25	78	18	66	61	51	0	21	23	63	84	95	25	91	40	98	80	49	77	19	3	91	96	55	8	21	39	30	83	21	77	92	73	76	25	32	75	74	44	77	39	26	17	29	76	88	63	97	18	54	11	62	13	96	47	76	70	53	50	1	95	39	16	68	30	99	23	86	10	41	76	13	13	37	88	50	14	
41	34	83	88	67	98	59	23	50	8	99	93	71	39	82	49	29	42	72	81	77	2	86	55	68	45	40	18	45	28	95	78	25	98	11	90	53	97	25	1	100	57	12	32	78	18	42	89	60	56	15	45	50	97	56	61	70	23	3	47	8	45	65	87	17	61	66	48	55	73	66	32	31	20	10	35	14	20	0	41	30	76	23	76	24	11	39	40	53	53	8	73	49	37	82	62	22	61	82	60	12	50	2	55	53	22	19	26	58	6	66	34	68	10	14	19	71	77	56	19	51	27	85	89	88	47	100	37	79	25	37	21	87	100	65	95	99	85	60	80	54	73	94	52	3	38	53	15	83	4	28	38	57	35	88	6	5	91	33	62	39	82	50	0	74	36	15	62	17	50	66	50	39	28	33	19	10	17	41	38	6	85	84	62	64	77	29	63	52	17	63	67	82	8	36	91	54	94	91	53	5	90	97	39	31	75	78	94	51	21	94	97	66	67	30	2	11	92	46	70	57	36	99	16	21	96	22	18	42	39	21	64	59	97	23	27	42	17	27	27	58	71	50	49	10	3	32	97	23	70	60	48	44	46	71	12	85	71	7	17	75	98	98	60	2	45	89	45	93	17	71	60	97	43	66	35	80	94	36	97	57	73	45	22	15	62	16	60	15	74	56	87	86	9	43	34	95	37	16	14	
10	87	79	60	88	97	62	38	86	96	45	54	97	40	4	98	55	45	18	33	56	38	4	86	43	39	32	12	76	40	87	22	48	37	91	7	100	28	44	26	40	14	11	62	13	81	8	29	24	60	51	63	12	9	58	98	24	33	26	72	77	16	5	75	23	28	72	99	25	0	74	11	27	59	68	44	54	85	100	4	25	61	35	8	43	71	47	56	73	59	50	21	100	84	3	58	17	21	44	42	95	47	95	30	8	82	4	19	20	23	86	35	95	76	86	28	70	74	72	82	84	15	49	7	36	54	27	80	22	40	66	47	63	95	62	38	83	54	46	97	18	93	4	8	92	63	61	9	26	52	44	68	60	89	41	70	4	51	89	8	24	52	1	63	29	39	2	100	43	24	80	9	9	57	59	63	70	0	70	82	80	61	16	77	70	100	69	83	13	49	28	37	31	72	59	29	11	99	25	26	4	67	70	64	61	5	10	57	6	97	68	3	39	85	84	83	76	54	75	24	53	66	10	62	90	74	85	64	27	63	35	37	6	37	84	8	66	79	17	58	60	79	1	59	0	41	80	9	7	92	96	28	95	23	2	60	37	80	69	48	64	69	25	15	96	16	39	77	49	13	34	50	35	18	7	19	19	7	64	28	58	43	27	12	88	1	63	43	36	11	52	71	1	12	67	95	71	6	85	2	
7	44	1	86	9	46	28	84	10	52	38	32	16	65	44	98	32	75	9	71	73	97	77	85	90	68	31	99	95	41	90	45	97	13	69	20	91	86	98	23	58	68	58	20	23	94	24	57	71	26	72	83	84	65	23	64	34	47	17	32	84	28	84	66	31	62	58	91	28	61	93	5	80	19	79	73	9	38	80	53	88	24	18	68	27	37	59	86	34	20	49	4	62	5	19	98	83	82	14	81	49	100	88	30	21	5	34	44	20	82	41	44	44	71	30	50	100	3	14	11	13	5	19	2	18	31	36	86	12	19	12	53	62	45	0	50	88	38	20	12	5	40	60	4	70	27	0	31	21	92	98	90	56	77	91	95	37	93	65	45	22	30	22	63	10	18	97	33	71	23	11	17	67	2	92	80	14	90	6	77	61	85	33	51	90	46	37	8	24	67	42	37	92	95	12	2	76	12	91	6	93	79	51	36	73	78	52	28	10	93	37	61	11	16	68	86	1	6	17	97	80	34	38	5	26	33	6	68	6	54	31	79	18	3	54	8	57	17	21	8	23	83	95	75	34	77	7	52	94	63	1	58	27	65	71	6	89	76	98	20	1	86	14	2	29	78	91	96	31	36	55	64	4	31	76	33	51	46	51	11	84	59	86	16	28	2	62	99	34	91	48	85	82	41	97	1	65	51	83	94	
4	36	42	37	35	47	20	44	52	80	88	51	20	16	79	99	22	21	67	68	43	71	58	50	62	23	68	28	68	7	82	5	6	23	6	43	84	7	9	6	51	51	67	71	94	72	71	25	43	71	48	0	100	34	16	69	25	59	55	76	37	2	50	55	5	19	32	53	34	14	33	41	12	63	60	17	71	100	55	39	93	21	55	8	30	23	19	59	46	3	44	9	31	16	46	16	48	23	94	64	86	64	98	89	80	8	54	31	1	39	59	87	7	25	75	19	50	19	6	99	80	0	69	66	24	7	0	99	18	63	15	75	40	7	89	10	62	84	73	42	26	15	83	39	75	60	66	4	48	56	43	47	63	40	98	37	91	19	69	1	37	100	53	0	100	35	65	49	78	31	30	8	98	30	37	27	94	28	99	29	97	20	19	41	23	75	45	44	7	3	76	62	50	41	69	78	38	59	94	7	10	10	0	86	30	58	62	94	54	67	25	96	14	55	97	23	13	0	20	95	24	9	71	9	37	24	71	6	20	62	71	10	24	11	93	71	95	51	49	97	84	75	54	40	22	94	4	17	67	73	45	35	34	96	62	8	16	7	17	38	36	65	61	76	78	43	6	94	21	43	90	63	79	51	21	3	13	86	86	92	52	97	9	72	90	59	95	14	74	62	85	0	22	68	54	14	7	61	45	21	
41	83	71	80	83	29	99	82	80	14	65	96	75	77	18	9	72	64	14	77	100	66	83	30	31	26	97	28	31	7	4	25	0	53	7	100	20	28	35	12	77	92	35	72	21	9	14	82	35	15	49	67	8	97	39	36	15	49	16	98	4	57	84	42	5	63	42	25	84	31	53	19	56	95	5	54	59	63	40	92	67	71	7	16	84	25	44	73	87	98	12	53	4	4	60	27	48	2	83	6	72	50	54	99	45	39	50	54	90	96	76	86	6	39	89	37	56	35	11	33	16	27	96	3	2	15	70	35	65	30	98	74	49	43	87	71	58	8	28	46	98	12	4	95	0	42	96	21	94	3	24	54	32	8	59	61	7	1	44	60	67	29	90	92	18	2	91	3	38	70	55	16	45	79	0	95	95	36	78	65	90	7	48	0	78	2	96	65	37	24	57	82	48	78	78	18	16	50	22	46	16	56	26	8	89	60	86	0	63	36	66	99	15	41	48	37	86	27	49	99	16	1	20	12	36	50	48	3	7	38	2	48	96	95	53	47	52	71	28	14	13	63	59	91	80	31	27	57	74	95	53	84	95	42	49	73	43	30	59	44	47	69	15	30	37	69	15	50	9	73	33	67	80	37	72	87	29	67	47	53	91	85	32	76	99	71	4	57	14	1	91	4	56	73	45	73	93	57	73	69	
0	97	8	57	42	71	41	96	88	81	50	0	58	3	27	81	97	59	86	1	65	38	39	99	21	99	57	21	52	2	87	49	15	98	9	87	97	48	32	47	7	22	79	20	53	92	33	82	88	24	4	27	69	43	82	44	26	14	18	98	27	77	59	27	12	12	83	27	96	30	22	65	41	19	83	61	59	48	43	56	43	88	41	14	60	84	96	24	1	45	91	63	68	31	45	18	85	2	21	63	38	51	13	64	0	25	45	71	15	79	46	27	37	73	48	97	15	12	52	73	75	49	92	64	16	43	39	88	63	99	12	94	52	34	23	37	44	30	40	81	75	29	60	45	56	7	100	80	85	60	25	14	38	47	64	49	72	11	37	34	58	79	87	75	8	6	48	41	11	26	45	24	39	56	84	2	80	19	86	41	77	25	68	8	66	16	53	93	46	20	16	51	75	10	25	47	82	99	87	97	23	66	88	48	80	23	73	90	23	86	33	14	44	48	48	51	80	69	65	69	13	75	79	9	84	36	55	37	18	41	76	75	92	45	26	11	68	68	52	74	83	87	3	46	55	20	59	88	70	45	84	24	48	52	73	85	94	86	84	13	65	15	21	81	97	67	70	45	81	17	71	70	79	2	28	41	93	42	62	42	64	6	40	17	37	64	51	76	48	80	89	87	71	14	41	70	12	77	43	95	
8	11	63	30	67	77	50	33	87	12	91	29	80	43	14	79	61	4	56	31	72	69	29	40	57	12	25	76	35	84	79	5	98	87	4	42	53	84	43	8	80	24	44	58	6	22	33	38	37	23	24	34	83	21	51	26	91	65	42	67	11	39	86	62	0	32	10	83	55	57	56	29	75	83	50	27	81	84	71	54	5	63	93	15	10	94	9	54	52	83	63	62	100	58	3	82	82	32	21	70	82	49	31	54	74	87	92	61	49	1	36	85	0	94	36	74	89	5	47	48	25	84	8	70	5	86	66	77	9	39	77	65	23	87	71	70	41	48	46	43	8	19	98	58	78	51	86	24	20	63	67	45	6	42	33	23	16	41	66	49	8	74	58	68	51	13	55	22	54	13	81	36	93	62	3	30	33	54	100	6	99	2	40	98	98	67	96	18	43	33	75	25	19	7	99	56	26	32	24	70	47	1	10	26	3	22	6	44	97	56	4	95	44	11	7	83	57	82	45	13	91	74	23	49	85	10	17	0	39	23	53	40	1	52	9	76	34	44	59	84	67	69	53	54	12	45	90	24	100	61	35	74	42	78	22	16	50	4	44	76	10	39	22	20	13	45	64	96	2	57	98	32	3	41	67	100	37	97	13	15	59	76	52	45	6	6	100	11	30	20	37	81	90	79	44	66	95	29	99	64	
